,ID,TRUE,FALSE,COMMENT,AND,OR,INTEGER,REAL,BOOLEAN,OF,ARRAY,START,END,DECLARE,MODULE,DRIVER,PROGRAM,GET_VALUE,PRINT,USE,WITH,PARAMETERS,TAKES,INPUT,RETURNS,FOR,IN,SWITCH,CASE,BREAK,DEFAULT,WHILE,NUM,RNUM,PLUS,MINUS,MUL,DIV,LT,LE,GE,GT,EQ,NE,DEF,ENDDEF,DRIVERDEF,DRIVERENDDEF,COLON,RANGEOP,SEMICOL,COMMA,ASSIGNOP,SQBO,SQBC,BO,BC,LEXERROR,TK_EOF
program,,,,,,,,,,,,,,program moduleDeclarations otherModules driverModule otherModules ,,,,,,,,,,,,,,,,,,,,,,,op2 MUL ,op2 DIV ,,,,,,,program moduleDeclarations otherModules driverModule otherModules ,,program moduleDeclarations otherModules driverModule otherModules ,,,,,,,,,,,,program moduleDeclarations otherModules driverModule otherModules 
moduleDeclarations,,,,,,,,,,,,,,moduleDeclarations moduleDeclaration moduleDeclarations ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moduleDeclarations e ,,moduleDeclarations e ,,,,,,,,,,,,
moduleDeclaration,,,,,,,,,,,,,,moduleDeclaration DECLARE MODULE ID SEMICOL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherModules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otherModules module otherModules ,,otherModules e ,,,,,,,,,,,,otherModules e 
driverModule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,driverModule DRIVERDEF DRIVER PROGRAM DRIVERENDDEF moduleDef ,,,,,,,,,,,,
module,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,module DEF MODULE ID ENDDEF TAKES INPUT SQBO input_plist SQBC SEMICOL ret moduleDef ,,,,,,,,,,,,,,
ret,,,,,,,,,,,,ret e ,,,,,,,,,,,,,ret RETURNS SQBO output_plist SQBC SEMICOL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input_plist,input_plist ID COLON dataType n1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n1 COMMA ID COLON dataType n1 ,,,n1 e ,,,,
output_plist,output_plist ID COLON type n2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n2 COMMA ID COLON type ,,,n2 e ,,,,
dataType,,,,,,,dataType INTEGER ,dataType REAL ,dataType BOOLEAN ,,dataType ARRAY SQBO range_arrays SQBC OF type ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
